2026-05-22 12:12:36 | INFO | __main__ | Pooled RAPM top 5:      [(201142, 0.6568), (202695, 0.5827), (201935, 0.5686), (203076, 0.5302), (201980, 0.5113)]
2026-05-22 12:12:36 | INFO | __main__ | RAPM+prior   top 5:     [(201142, 1.9504), (203110, 1.5936), (201980, 1.591), (203076, 1.5791), (201939, 1.5375)]
2026-05-22 12:12:36 | INFO | __main__ | Loaded 80,598 pooled stints (['2018-19', '2019-20', '2020-21']) Regular Season
2026-05-22 12:12:36 | INFO | __main__ | Player pool: 747 players
2026-05-22 12:12:37 | INFO | __main__ | Matrix: (80598, 747), 805,980 nonzero entries
2026-05-22 12:12:37 | INFO | __main__ | Prior γ: min=-17.236 max=6.676 mean=-0.000
2026-05-22 12:12:38 | INFO | __main__ | Inserting 466 ratings for 2020-21 Regular Season
2026-05-22 12:12:38 | INFO | __main__ | Pooled RAPM top 5:      [(202695, 2.1521), (203497, 2.1503), (203114, 2.0139), (201980, 1.9033), (201939, 1.7805)]
2026-05-22 12:12:38 | INFO | __main__ | RAPM+prior   top 5:     [(202695, 3.2027), (203497, 2.9629), (203507, 2.9195), (201980, 2.8625), (201939, 2.8051)]
2026-05-22 12:12:38 | INFO | __main__ | Loaded 6,156 pooled stints (['2018-19', '2019-20', '2020-21']) Playoffs
2026-05-22 12:12:38 | INFO | __main__ | Player pool: 399 players
2026-05-22 12:12:38 | INFO | __main__ | Matrix: (6156, 399), 61,560 nonzero entries
2026-05-22 12:12:38 | INFO | __main__ | Prior γ: min=-12.503 max=14.825 mean=0.000
2026-05-22 12:12:38 | INFO | __main__ | Inserting 30 ratings for 2020-21 Playoffs
2026-05-22 12:12:38 | INFO | __main__ | Pooled RAPM top 5:      [(201980, 0.8191), (203114, 0.7332), (202695, 0.5886), (201572, 0.5763), (203507, 0.4924)]
2026-05-22 12:12:38 | INFO | __main__ | RAPM+prior   top 5:     [(201980, 2.1116), (203954, 1.8691), (203114, 1.5602), (203076, 1.4792), (203507, 1.4167)]
2026-05-22 12:12:38 | INFO | __main__ | Loaded 80,105 pooled stints (['2019-20', '2020-21', '2021-22']) Regular Season
2026-05-22 12:12:38 | INFO | __main__ | Player pool: 761 players
2026-05-22 12:12:39 | INFO | __main__ | Matrix: (80105, 761), 801,050 nonzero entries
2026-05-22 12:12:39 | INFO | __main__ | Prior γ: min=-17.215 max=14.077 mean=0.000
2026-05-22 12:12:40 | INFO | __main__ | Inserting 466 ratings for 2021-22 Regular Season
2026-05-22 12:12:40 | INFO | __main__ | Pooled RAPM top 5:      [(1628369, 1.9805), (203497, 1.9694), (202695, 1.9181), (201950, 1.7609), (203114, 1.6437)]
2026-05-22 12:12:40 | INFO | __main__ | RAPM+prior   top 5:     [(202695, 3.3725), (1628369, 2.8582), (203497, 2.8286), (203507, 2.5921), (201950, 2.5321)]
2026-05-22 12:12:40 | INFO | __main__ | Loaded 6,197 pooled stints (['2019-20', '2020-21', '2021-22']) Playoffs
2026-05-22 12:12:40 | INFO | __main__ | Player pool: 387 players
2026-05-22 12:12:40 | INFO | __main__ | Matrix: (6197, 387), 61,970 nonzero entries
2026-05-22 12:12:40 | INFO | __main__ | Prior γ: min=-12.690 max=14.932 mean=0.000
2026-05-22 12:12:40 | INFO | __main__ | Inserting 27 ratings for 2021-22 Playoffs
2026-05-22 12:12:40 | INFO | __main__ | Pooled RAPM top 5:      [(1627759, 0.5723), (201950, 0.5066), (200782, 0.4271), (203076, 0.3954), (1626164, 0.3692)]
2026-05-22 12:12:40 | INFO | __main__ | RAPM+prior   top 5:     [(203076, 1.5617), (2544, 1.4302), (201950, 1.3783), (1627759, 1.2649), (203114, 1.2434)]
2026-05-22 12:12:40 | INFO | __main__ | Loaded 82,761 pooled stints (['2020-21', '2021-22', '2022-23']) Regular Season
2026-05-22 12:12:40 | INFO | __main__ | Player pool: 770 players
2026-05-22 12:12:41 | INFO | __main__ | Matrix: (82761, 770), 827,610 nonzero entries
2026-05-22 12:12:41 | INFO | __main__ | Prior γ: min=-17.139 max=14.154 mean=-0.000
2026-05-22 12:12:42 | INFO | __main__ | Inserting 468 ratings for 2022-23 Regular Season
2026-05-22 12:12:42 | INFO | __main__ | Pooled RAPM top 5:      [(201950, 2.506), (1628369, 2.2431), (203954, 1.9526), (203497, 1.9149), (202695, 1.7617)]
2026-05-22 12:12:42 | INFO | __main__ | RAPM+prior   top 5:     [(201950, 3.5191), (1628369, 3.0563), (202695, 3.0536), (1629008, 3.0069), (203954, 3.0065)]
2026-05-22 12:12:42 | INFO | __main__ | Loaded 6,061 pooled stints (['2020-21', '2021-22', '2022-23']) Playoffs
2026-05-22 12:12:42 | INFO | __main__ | Player pool: 374 players
2026-05-22 12:12:42 | INFO | __main__ | Matrix: (6061, 374), 60,610 nonzero entries
