2026-05-22 14:42:55 | INFO | __main__ | RAPM  top 5: [(201569, 1.1857), (201939, 1.1675), (203991, 1.1367), (101108, 1.0663), (1627732, 0.974)]
2026-05-22 14:42:55 | INFO | __main__ | O-RAPM top5: [(201939, 1.9866), (201942, 1.9854), (201142, 1.7697), (203991, 1.6062), (101108, 1.3848)]
2026-05-22 14:42:55 | INFO | __main__ | D-RAPM top5: [(201950, 1.4596), (203497, 1.3482), (203496, 1.272), (203506, 1.2656), (2738, 1.1858)]
2026-05-22 14:42:55 | INFO | __main__ | Loaded 1,987 stints for 2017-18 Playoffs
2026-05-22 14:42:55 | INFO | __main__ | Player pool: 194 players
2026-05-22 14:42:55 | INFO | __main__ | Net matrix: (1987, 194), 19,870 nonzero entries
2026-05-22 14:42:55 | INFO | __main__ | O/D matrix: (3974, 194), 19,870 nonzero entries
2026-05-22 14:42:55 | INFO | __main__ | Inserting 24 ratings for 2017-18 Playoffs
2026-05-22 14:42:55 | INFO | __main__ | RAPM  top 5: [(201142, 0.46), (2733, 0.4199), (201156, 0.4106), (201935, 0.2947), (203991, 0.284)]
2026-05-22 14:42:55 | INFO | __main__ | O-RAPM top5: [(2733, 0.4576), (201142, 0.4205), (201143, 0.4076), (201939, 0.3755), (1626172, 0.3476)]
2026-05-22 14:42:55 | INFO | __main__ | D-RAPM top5: [(201142, 0.6299), (201156, 0.4179), (201935, 0.361), (2772, 0.3382), (2733, 0.3265)]
2026-05-22 14:42:55 | INFO | __main__ | Loaded 29,372 stints for 2018-19 Regular Season
2026-05-22 14:42:55 | INFO | __main__ | Player pool: 520 players
2026-05-22 14:42:56 | INFO | __main__ | Net matrix: (29372, 520), 293,720 nonzero entries
2026-05-22 14:42:56 | INFO | __main__ | O/D matrix: (58744, 520), 293,720 nonzero entries
2026-05-22 14:42:56 | INFO | __main__ | Inserting 373 ratings for 2018-19 Regular Season
2026-05-22 14:42:56 | INFO | __main__ | RAPM  top 5: [(201939, 1.6273), (201980, 1.3083), (202339, 1.0526), (203507, 1.0146), (203114, 0.9463)]
2026-05-22 14:42:56 | INFO | __main__ | O-RAPM top5: [(201939, 2.3544), (201980, 1.6937), (201142, 1.399), (202339, 1.2665), (203114, 1.2157)]
2026-05-22 14:42:56 | INFO | __main__ | D-RAPM top5: [(201939, 1.1658), (1628369, 1.1437), (204060, 1.0267), (202709, 1.0033), (201980, 0.9592)]
2026-05-22 14:42:56 | INFO | __main__ | Loaded 2,037 stints for 2018-19 Playoffs
2026-05-22 14:42:56 | INFO | __main__ | Player pool: 205 players
2026-05-22 14:42:56 | INFO | __main__ | Net matrix: (2037, 205), 20,370 nonzero entries
2026-05-22 14:42:56 | INFO | __main__ | O/D matrix: (4074, 205), 20,370 nonzero entries
2026-05-22 14:42:56 | INFO | __main__ | Inserting 25 ratings for 2018-19 Playoffs
2026-05-22 14:42:56 | INFO | __main__ | RAPM  top 5: [(202695, 0.41), (201188, 0.3905), (201980, 0.3562), (1626181, 0.3006), (201939, 0.2497)]
2026-05-22 14:42:56 | INFO | __main__ | O-RAPM top5: [(201939, 0.6098), (1626172, 0.5688), (202695, 0.5212), (203110, 0.4939), (202691, 0.4549)]
2026-05-22 14:42:56 | INFO | __main__ | D-RAPM top5: [(201980, 0.6408), (201188, 0.5683), (1626181, 0.454), (1627783, 0.3909), (203507, 0.3756)]
2026-05-22 14:42:57 | INFO | __main__ | Loaded 26,127 stints for 2019-20 Regular Season
2026-05-22 14:42:57 | INFO | __main__ | Player pool: 524 players
2026-05-22 14:42:57 | INFO | __main__ | Net matrix: (26127, 524), 261,270 nonzero entries
2026-05-22 14:42:57 | INFO | __main__ | O/D matrix: (52254, 524), 261,270 nonzero entries
2026-05-22 14:42:57 | INFO | __main__ | Inserting 362 ratings for 2019-20 Regular Season
2026-05-22 14:42:57 | INFO | __main__ | RAPM  top 5: [(202083, 1.1594), (1628978, 0.9459), (201588, 0.9412), (202695, 0.8639), (201572, 0.8572)]
2026-05-22 14:42:57 | INFO | __main__ | O-RAPM top5: [(201568, 2.1769), (1628389, 1.3026), (203463, 1.2292), (2546, 1.0608), (1627827, 1.0265)]
2026-05-22 14:42:57 | INFO | __main__ | D-RAPM top5: [(202083, 1.4967), (201580, 1.1963), (201572, 1.1516), (1627832, 1.1423), (1627783, 1.074)]
2026-05-22 14:42:57 | INFO | __main__ | Loaded 2,079 stints for 2019-20 Playoffs
2026-05-22 14:42:57 | INFO | __main__ | Player pool: 199 players
2026-05-22 14:42:57 | INFO | __main__ | Net matrix: (2079, 199), 20,790 nonzero entries
2026-05-22 14:42:58 | INFO | __main__ | O/D matrix: (4158, 199), 20,790 nonzero entries
2026-05-22 14:42:58 | INFO | __main__ | Inserting 22 ratings for 2019-20 Playoffs
2026-05-22 14:42:58 | INFO | __main__ | RAPM  top 5: [(203076, 0.4223), (2544, 0.3501), (1628398, 0.2897), (1627936, 0.235), (1629130, 0.2315)]
2026-05-22 14:42:58 | INFO | __main__ | O-RAPM top5: [(1629130, 0.5113), (202695, 0.4085), (1628389, 0.2937), (2544, 0.2789), (201609, 0.2684)]
2026-05-22 14:42:58 | INFO | __main__ | D-RAPM top5: [(1628369, 0.5364), (203076, 0.4286), (202689, 0.2932), (203935, 0.2736), (201935, 0.2544)]
2026-05-22 14:42:58 | INFO | __main__ | Loaded 25,099 stints for 2020-21 Regular Season
2026-05-22 14:42:58 | INFO | __main__ | Player pool: 540 players
2026-05-22 14:42:58 | INFO | __main__ | Net matrix: (25099, 540), 250,990 nonzero entries
2026-05-22 14:42:58 | INFO | __main__ | O/D matrix: (50198, 540), 250,990 nonzero entries
